id,funded_amount,loan_amount,activity,sector,use,partner_id,repayment_interval
1075736,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1075804,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
1075689,1850,1850,Home Energy,Personal Use,to purchase solar panels,9,monthly
1075800,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1075795,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their families.		,311,monthly
1075807,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1075725,125,125,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.,311,monthly
1075896,1250,1250,Farming,Agriculture,to cover plowing expenses.,9,monthly
1075999,75,75,Home Energy,Personal Use,to purchase a solar home system to brighten her house during the nighttime.,204,monthly
1075727,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1075801,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
1075724,275,275,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1075930,1100,1100,Higher education costs,Education,to pay for her tuition fee and buying school materials to support her studies.,204,monthly
1076008,1200,1200,Land Rental,Agriculture,to pay the rent for some land on which she will develop her farming activities.,9,monthly
1075796,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their families.		,311,monthly
1076791,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1076826,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1076818,175,175,Home Appliances,Personal Use, To buy a water filter to provide safe drinking water for her family.	,311,monthly
1076848,200,200,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.,311,monthly
1076910,350,350,Higher education costs,Education,to pay his first-year university fees,9,monthly
1076836,175,175,Home Appliances,Personal Use,to purchse a water filter to provide safe drinking water for their family.		,311,monthly
1076959,500,500,Vehicle,Personal Use,to buy a new motorbike for commuting to work.,106,monthly
1076640,1500,1500,Farming,Agriculture,to buy more farmland for her husband to cultivate rice.,9,monthly
1076853,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
1076792,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1076690,750,750,Farming,Agriculture,to buy seeds and insecticides for farming,9,monthly
1076681,1500,1500,Farming,Agriculture,to cover plowing expenses.,9,monthly
1076828,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1076845,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water.,311,monthly
1076821,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1076837,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
1076748,1325,1325,Cattle,Agriculture,to buy cows to breed for calves to sell,9,monthly
1076838,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1076578,250,250,Personal Housing Expenses,Housing,to build a new toilet,106,monthly
1076783,100,100,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.,311,monthly
1076796,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1076799,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1076781,175,175,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.,311,monthly
1076800,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1076841,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water.,311,monthly
1076795,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1076819,175,175,Home Appliances,Personal Use, To buy a water filter to provide safe drinking water for her family.	,311,monthly
1076798,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1076839,100,100,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.,311,monthly
1076642,600,600,Home Energy,Personal Use,to pay for a solar home system.,407,monthly
1076831,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1076694,1125,1125,Farming,Agriculture,to buy rice seeds for farming,9,monthly
1076834,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.	,311,monthly
1076793,1500,1500,Taxi,Transportation,to buy a new motorcycle for her husband to run a taxi service.,9,monthly
1076811,200,200,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.,311,monthly
1076631,2175,2175,Higher education costs,Education,to cover his tuition fees from the third to the fifth year.,9,monthly
1076847,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water.,311,monthly
1076827,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
1076842,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water.,311,monthly
1076583,1000,1000,Personal Housing Expenses,Housing,to build a hygienic latrine,106,monthly
1076822,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1076801,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1076843,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water.,311,monthly
1076823,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1076833,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1076780,200,200,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.,311,monthly
1091375,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.		.,311,monthly
1091461,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1091385,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1091260,1225,1225,Services,Services,to buy a sugarcane juice machine for her husband,9,monthly
1091354,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1091388,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1091378,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1091360,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1091363,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1091367,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1091429,1675,1675,Pigs,Agriculture,to buy piglets to fatten and resell,9,monthly
1091369,175,175,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.,311,monthly
1091368,500,500,Home Energy,Personal Use,to order a solar system.,106,monthly
1091270,875,875,Fruits & Vegetables,Food,to purchase more vegetables to sell.,9,monthly
1091348,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1091485,400,400,Home Appliances,Personal Use,buy a water filter to provide safe drinking water for their family.,311,irregular
1091353,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1091366,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1091460,250,250,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
1091389,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1091493,275,275,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,irregular
1091358,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1091382,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1091355,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1091338,1675,1675,Cattle,Agriculture,to buy a cow to fatten and breed to obtain calves to sell.,9,monthly
1091902,175,175,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.,311,monthly
1091812,825,825,Cattle,Agriculture,to buy cows to breed & sell.,9,monthly
1091844,1250,1250,Personal Housing Expenses,Housing,to buy lumber to renovate her house,9,monthly
1091808,750,750,Farming,Agriculture,to improve his farmland.,106,monthly
1093502,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093473,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093500,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093445,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093470,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093485,275,275,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093822,325,325,Weaving,Arts,to buy silk and pay for loom preparation related fees,439,bullet
1093535,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093526,250,250,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093690,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093444,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093519,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093480,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093464,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093520,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093507,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.		,311,monthly
1093542,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093437,350,350,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093692,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093716,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093703,175,175,Home Appliances,Personal Use, To buy a water filter to provide safe drinking water for her family.	,311,monthly
1093525,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093442,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093687,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093494,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093483,250,250,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093496,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093486,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093517,250,250,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093689,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093448,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093443,275,275,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093439,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.		.,311,monthly
1093686,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093495,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093481,250,250,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093451,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1093522,250,250,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093683,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093511,250,250,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.,311,monthly
1093492,325,325,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093478,250,250,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093488,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093456,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
1093440,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.		.,311,monthly
1093679,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093524,325,325,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093472,250,250,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093817,500,500,Cattle,Agriculture,to purchase a cow to fatten and breed for calves to sell and also to use for plowing.,9,monthly
1093474,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093718,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093446,800,800,Recycled Materials,Retail,to buy more recyclable junk to resell,9,monthly
1093684,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093678,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1093530,325,325,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093720,325,325,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093479,100,100,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.,311,monthly
1093505,275,275,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.	,311,monthly
1093681,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093469,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093504,350,350,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.	,311,monthly
1093449,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093467,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093457,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1093493,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093461,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.		,311,monthly
1093712,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093528,275,275,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093516,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093501,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093693,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093452,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1093513,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093466,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093497,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093512,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093682,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093514,125,125,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.,311,monthly
1093463,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093476,400,400,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093454,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1093487,325,325,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093459,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
1093436,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093490,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1093789,1000,1000,Animal Sales,Agriculture,to purchase a cow to fatten and breed for calves to sell and also for plowing,9,monthly
1094480,750,750,Farming,Agriculture,to buy fertilizer and seed for her cassava farm to get more yield than before.,204,monthly
1094342,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094185,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094358,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094463,200,200,Farming,Agriculture,to pay plowing fees and to buy fertilizer to improve her farming.,204,monthly
1094311,250,250,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094205,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1094334,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094479,250,250,Vehicle,Personal Use,to buy a new motor for his daily usage to get to work.,106,monthly
1094341,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094208,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1094484,625,625,Farming,Agriculture,to purchase cassava seeds and to pay the plowing fee for her cassava farm in order to get a good yield.,204,monthly
1094308,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094339,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094187,250,250,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094197,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094321,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094224,2150,2150,Farming,Agriculture,to buy farmland to cultivate rice,9,monthly
1094204,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1094309,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094336,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094564,375,375,Farming,Agriculture,"To buy fertilizer, seed, pesticide and to pay for plowing fee.",204,monthly
1094212,125,125,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.,311,monthly
1094349,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094343,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094493,375,375,Farming,Agriculture,to purchase more seed and to pay the plowing fee which she wants to improve her farming.,204,monthly
1094446,975,975,Farming,Agriculture,to purchase more rice seeds and to pay for the plowing fee on her rice farm to produce a good yield.,204,monthly
1094319,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094338,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094551,975,975,Farming,Agriculture,"To buy fertilizer, seed and to pay for labor and plowing fee to support her cassava plantation.",204,monthly
1094196,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094202,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094388,1475,1475,Motorcycle Transport,Transportation,to buy a motorcycle for her business and family use,9,monthly
1094201,275,275,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094310,325,325,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094620,725,725,Personal Housing Expenses,Housing,To buy a decent latrine in order to provide her family with a better lifestyle.,204,monthly
1094560,700,700,Farming,Agriculture,To buy more cassava stems.,204,monthly
1094307,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094536,625,625,Farming,Agriculture,"to buy fertilizer, seed and to pay for plowing fee in order to support her cassava planting.",204,monthly
1094186,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094322,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094331,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094337,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094194,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094200,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094207,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1094352,250,250,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1094326,250,250,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094495,850,850,Fruits & Vegetables,Food,to buy more coconuts to resell.,204,monthly
1094190,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094514,975,975,Personal Expenses,Personal Use,To buy a plot of land in order to build a new house for her family.,204,monthly
1094192,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094216,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1094540,750,750,Farming,Agriculture,to buy fertilizer to support her rice business.,204,monthly
1094524,850,850,Agriculture,Agriculture,to purchase organic pesticide and spend on plowing fees to support her planting.,204,monthly
1094198,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094329,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094191,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094533,675,675,Farming,Agriculture,to buy more fertilizer and cassava seed as inputs for her cassava farm in order to gain good yields.,204,monthly
1094211,175,175,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.,311,monthly
1094193,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094523,1400,1400,Farming,Agriculture,to rent more plots of farmland in order to grow more crops.,204,monthly
1094206,1800,1800,Personal Housing Expenses,Housing,to buy lumber to renovate her house,9,monthly
1094188,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094315,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094470,750,750,Personal Housing Expenses,Housing,to build a latrine for her house.,204,monthly
1094313,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094306,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094347,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094563,2925,2925,Taxi,Transportation,to buy a tuk tuk (a motorcycle with a trailer) for her husband to run as a tuk tuk taxi,9,monthly
1094571,625,625,Farming,Agriculture,to buy farmland.,106,monthly
1094556,500,500,Farming,Agriculture,to buy fertilizer and to pay for labor and a plowing fee for the purpose of increasing the productivity of her crop yields.,204,monthly
1094241,1575,1575,Pigs,Agriculture,to buy piglets to fatten and resell,9,monthly
1094356,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
1094318,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1094199,175,175,Home Appliances,Personal Use,o buy a water filter to provide safe drinking water for their family.,311,monthly
1094203,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1094546,950,950,Farming,Agriculture,to buy fertilizer and seed and increase productivity of her crops.,204,monthly
1095231,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1095230,125,125,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.,311,monthly
1095255,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1095226,200,200,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.,311,monthly
1095238,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1095264,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1095214,875,875,Cattle,Agriculture,to buy a cow.,106,monthly
1095251,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1095232,200,200,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.,311,monthly
1095227,750,750,Land Rental,Agriculture,to pay the farm land rent fee.,106,monthly
1095242,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1095291,1000,1000,Vehicle,Personal Use,to buy a motorbike for her children to use to go to work.,106,monthly
1095233,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
1095364,650,650,Home Energy,Personal Use,to pay for solar home power system.,407,monthly
1095294,275,275,Personal Housing Expenses,Housing,to buy construction materials to build a latrine for family use,9,monthly
1095279,1700,1700,Grocery Store,Food,to buy more groceries to sell,9,monthly
1095221,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.	,311,monthly
1095253,500,500,Farming,Agriculture,to add more capital to buy some cassava seeds.,106,monthly
1095249,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1095326,1525,1525,Motorcycle Transport,Transportation,to buy a motorbike to commute to work,9,monthly
1095263,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1095225,100,100,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.,311,monthly
1095237,2350,2350,Agriculture,Agriculture,to buy cassava trees to grow.,9,monthly
1095499,500,500,Farming,Agriculture,to purchase cashew trees for her farm,9,monthly
1095261,250,250,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1095248,125,125,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.,311,monthly
1095322,500,500,Construction,Construction,to buy some equipment related to construction,106,monthly
1095228,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1095254,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
1095363,2100,2100,Pharmacy,Health,to buy more medicine to sell.,9,monthly
1095246,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1095220,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.	,311,monthly
1095244,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1095258,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1095241,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1095229,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1095410,1200,1200,Retail,Retail,to buy additional ice creams to sell,9,monthly
1095235,250,250,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1095218,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.	,311,monthly
1095222,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.		,311,monthly
1095219,250,250,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
